genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
TEX2,0,0,0,0,18909,0,5519,8076,9057,4439,12360,13750,3763,8059,11257,8133,0,0,0,0,1857,0,0,0,3704,0,0,0,14362,3891,0,0,N,N,N
TUBB6,0,0,7623,0,65056,0,6875,12555,8910,4741,4528,1670,8698,4078,2539,14111,0,0,0,0,1891,0,0,0,0,0,0,0,6890,12769,0,0,N,N,N
CHST9,0,0,6962,0,7681,0,10626,12581,13894,11526,11290,2581,10140,11449,9774,11703,0,0,0,0,0,0,0,0,0,0,0,0,12099,8049,0,1596,N,N,N
ACP5,0,0,5957,0,12862,0,5727,4344,5256,8787,4122,9091,6009,5448,8399,4766,0,0,0,0,11998,0,2172,1674,0,0,0,0,782,7854,0,566,N,N,N
ZNF570,0,0,0,0,38410,0,11035,11426,11018,12709,9217,13321,11254,8603,10904,8211,0,0,5440,0,7288,0,0,0,4302,0,0,0,14236,4888,0,5049,N,N,N
KLK15,0,0,0,0,288,0,12569,4423,5232,14843,16125,13329,13279,13515,10910,5997,0,0,2891,0,3533,0,2893,0,0,0,0,0,13205,7076,0,2488,N,N,N
ACADL,0,0,6746,0,86416,0,6860,12587,8578,10037,10427,5402,12653,11355,7453,14404,0,0,0,0,4504,0,0,0,0,0,0,0,4232,0,0,0,N,N,N
ZFAND2B,0,0,0,0,33079,0,11390,12554,11506,15142,12905,14372,11928,12773,13253,14274,0,0,0,0,5457,0,4763,0,0,1196,1644,0,13416,0,0,8349,N,N,N
FARP2,0,0,6621,0,19366,0,6842,9693,5141,13753,3435,1832,12492,6349,6333,2281,0,0,2658,0,14046,0,0,0,6147,0,0,0,422,6618,0,5820,N,N,N
SUPT7L,0,0,8229,0,43023,0,13818,12559,5809,16315,1148,4358,15431,13962,10317,13843,0,0,0,0,7742,0,5598,4526,0,916,1504,0,19398,12745,0,10488,N,N,Y
ASB3,0,0,5698,0,32096,0,10200,12585,13895,12797,16561,11160,11513,15493,12665,14691,0,0,0,0,0,0,0,0,0,0,0,0,18279,0,0,5922,N,N,N
LBX2,0,0,5699,0,41385,0,13821,12571,12470,16596,14399,15736,15715,12487,14507,12606,0,0,0,0,6441,0,0,0,0,0,0,0,16451,11657,0,0,N,N,N
MRPL39,0,0,1286,0,12435,0,2458,1015,2138,9690,7692,9738,11122,4956,9371,6193,0,0,0,0,8518,0,0,0,4122,0,0,0,4441,7012,0,0,N,N,N
TBC1D23,0,0,0,0,16457,0,8663,4266,3997,13455,8744,14038,12024,12025,11478,3920,0,0,0,0,14133,0,5514,0,0,0,0,0,2190,9049,0,0,N,N,Y
