genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
PHGDH,0,0,3961,0,944,0,4318,6650,697,7301,2174,9760,4079,6154,4273,8871,0,0,1968,0,665,0,4291,3881,4283,578,848,0,8783,7677,0,11619,N,N,Y
TCHHL1,0,0,0,0,24548,0,6279,1156,6137,4851,8315,8310,3475,2574,2981,1108,0,4743,3500,0,8485,0,0,0,1313,0,0,0,15891,1136,0,5336,N,N,N
OR10K2,0,0,1621,0,254,0,12172,1764,1545,4554,3744,4424,3028,860,2384,289,0,503,8992,0,12931,532,0,0,0,0,0,0,598,950,0,1466,N,N,N
SPTA1,299,0,11,70,2956,6,65,11,12252,60,1362,308,22,18,64,9,11,233,0,112,0,10,8,8,105,0,0,898,24,10,0,3013,Y,N,Y
RABGAP1L,0,0,0,0,383,0,5602,1955,5635,4761,7799,9521,3394,2854,4409,7280,0,2340,0,0,0,0,0,0,1288,0,0,0,4617,2110,0,8573,N,N,N
ARHGEF10L,797,0,3114,0,10606,620,7092,1554,4249,7172,6144,8495,5008,2808,4276,7149,0,3841,4916,0,5977,0,871,834,1314,0,0,0,5396,2182,0,6660,N,N,N
FAM5C,0,0,0,0,16444,112,13508,10801,13660,8888,13611,0,12508,16150,0,22,79,0,0,237,0,0,0,0,2213,0,0,0,0,61,0,0,N,N,N
KCNT2,0,0,0,0,6508,0,1522,900,5250,1359,7893,4781,459,1020,1194,80,0,4448,5439,0,10314,0,0,0,1315,0,0,0,113,117,0,8132,N,N,N
HTR6,0,0,8276,0,1211,0,5618,6654,3679,7805,4769,3373,10065,7181,6087,1689,0,3506,5724,0,6800,0,0,0,1316,0,0,0,6451,4274,0,5983,N,N,N
CACNA1S,0,0,295,0,2358,367,572,1576,230,568,755,1529,672,615,1044,7027,0,4182,795,0,667,456,368,299,2214,0,0,769,1111,1397,0,11508,N,N,N
PYCR2,0,0,0,0,52852,0,8353,9216,10287,11665,12122,15003,6354,10765,13839,13313,0,0,0,0,5091,0,6136,0,1317,0,0,0,17082,11501,0,5154,N,N,N
PRSS38,0,0,0,0,8289,0,13150,8260,10353,14916,10327,13871,13352,10039,11349,3293,0,2361,7422,0,11863,0,0,0,0,0,0,0,13566,6695,0,6585,N,N,N
CHRM3,0,0,353,0,10009,289,2742,1571,1486,1093,8347,1507,1082,1234,1026,471,0,3135,198,0,13536,211,0,0,3645,0,0,817,381,654,40,3042,N,N,N
OR2L2,0,0,1511,0,279,0,12022,985,1080,3826,3515,4047,2493,618,2008,292,0,3781,3569,0,6681,544,0,0,0,0,0,0,5381,814,0,9205,N,N,N
OR14C36,0,346,1427,200,6247,0,11286,941,1057,3162,3312,3509,1953,631,1713,838,0,3884,5728,0,655,0,0,0,0,0,0,0,11192,2470,0,1959,N,N,N
NR0B2,0,0,7917,0,26768,0,5746,9221,1286,9379,298,1871,5413,5910,401,12939,0,0,0,0,11950,1610,4891,3746,0,0,0,0,19741,12843,0,6847,N,N,Y
AHDC1,0,0,0,0,45320,0,1416,1784,7826,2911,9626,7266,2940,2458,2453,175,0,569,9187,0,8611,0,674,0,1318,0,0,0,121,613,0,9866,N,N,N
PRPF38A,0,0,9106,0,58502,0,10164,9217,7719,15432,16961,5502,12915,15893,7165,13262,0,0,0,0,13551,0,6004,4641,0,0,0,0,3765,13543,0,0,N,N,N
C1orf177,0,0,0,0,19346,0,14289,14014,14301,0,0,0,0,0,0,7731,0,0,0,0,0,0,0,0,0,0,0,0,7883,4753,0,0,N,N,N
DOCK7,0,0,2346,0,2863,0,3958,1490,2046,4241,6494,2756,2946,1259,2282,5246,0,3251,0,0,0,0,437,404,1319,0,0,0,2707,1118,0,0,N,N,N
CPN1,0,0,0,0,3007,0,3700,3096,5961,2863,5009,10881,1529,4547,5661,7790,0,3302,3741,0,13189,0,1354,0,1320,0,0,0,8484,2606,0,581,N,N,N
MKI67,0,0,1325,0,14637,131,1569,325,83,730,545,2529,303,330,694,6782,0,1296,4449,35,668,0,154,122,14,0,0,0,1977,299,0,840,Y,N,N
ERCC6,0,0,123,0,20399,0,172,1904,120,342,264,6755,14208,7379,12326,6470,0,2042,8022,0,621,0,511,414,432,1692,1473,0,5323,2349,0,1048,N,N,Y
DIP2C,243,0,0,0,11309,0,915,2151,3655,3920,7073,8319,1752,2272,2982,6890,0,3390,2798,0,1456,0,398,0,648,0,0,0,11723,1516,0,9081,Y,N,Y
HECTD2,0,0,746,0,7487,0,4263,4889,7073,5491,8478,2321,7224,3545,4054,4681,0,3458,3854,0,6362,0,0,0,0,0,0,0,1745,2191,0,5808,N,N,N
TLL2,0,301,3675,0,363,0,1873,1334,2190,1092,3189,1644,690,1587,1877,778,0,1536,2200,0,680,0,0,0,0,0,0,0,265,842,0,2954,N,N,Y
ATM,0,0,36,0,2304,366,9,387,31,7,16,30,407,154,306,1415,0,182,8129,0,9196,126,169,140,1321,0,0,872,1024,258,99,10681,Y,N,Y
DCDC5,0,0,0,0,0,0,13796,12438,13867,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,N,N,N
OR4S2,0,0,1725,0,3581,0,12311,2711,1991,5404,3970,4532,3662,1066,2837,310,0,3642,1035,0,7476,0,0,0,4692,0,0,0,2194,1124,0,4007,N,N,Y
OR10Q1,0,0,1512,0,3777,0,12198,1919,1623,3810,3505,3985,2477,764,2003,368,0,1905,7423,0,6315,0,0,0,0,0,0,0,5752,772,0,9435,N,N,N
CDHR5,575,0,5839,0,31391,0,7246,2757,12835,13298,16149,3084,12803,13539,1808,9599,0,0,1077,0,5145,0,0,0,1322,0,0,0,16832,10513,0,3280,N,N,N
NAALADL1,0,0,0,0,4272,0,6219,4568,7395,6274,8440,10606,4745,5800,5557,2127,0,3188,4591,0,10982,0,0,0,1226,0,0,0,4494,4255,0,7186,N,N,N
DPF2,0,0,6433,0,3157,0,6613,9229,7095,11800,10015,6207,12727,12309,12505,9742,0,0,5428,0,10677,0,5266,4200,1323,0,0,0,11340,8330,0,10948,N,N,Y
FAT3,0,0,16,20,324,0,9738,12,12279,0,0,0,0,0,0,61,12,1135,0,79,0,8,0,0,7,0,0,27,9629,14,1,0,N,N,Y
ACACB,0,0,886,0,101,0,422,169,249,1046,1966,3066,387,214,1199,5889,0,3358,5010,0,8653,275,220,175,1324,1028,56,844,1766,1072,0,7432,N,N,N
SDSL,0,0,0,0,49671,0,5606,7536,8640,7514,10742,13742,9079,9132,11249,13544,0,0,962,0,7725,0,5941,0,0,0,0,0,17397,13154,0,12213,N,N,N
PEBP1,0,0,8568,0,4013,0,5424,9220,6426,10589,2820,937,6549,10215,5740,13092,0,0,9388,0,12838,0,7735,6108,1325,0,0,0,12300,13618,0,726,N,N,Y
TMEM132B,0,0,0,0,13371,0,11827,395,5111,1347,6507,3512,763,577,833,955,0,178,299,0,7318,0,0,0,0,0,0,0,17665,330,0,3549,N,N,Y
EP400,0,0,351,0,8786,201,493,211,19,684,19,22,739,278,725,6789,0,2339,0,0,9816,202,174,144,363,0,0,834,4808,484,0,0,N,N,N
ZNF10,0,0,7049,0,1992,0,2304,7310,9129,4511,8673,6968,3172,6520,8139,6522,0,4015,8473,0,8312,0,4262,3737,0,0,0,0,3849,3240,0,9501,N,N,N
LRTM2,0,0,0,0,8380,0,4408,2022,2459,5287,7792,9668,5091,3235,4448,2669,0,1793,2181,0,626,0,0,0,0,0,0,0,7167,4324,0,5429,N,N,N
SLCO1B1,0,472,3330,0,3898,0,981,651,1998,1545,3149,4416,1831,1028,1689,345,0,2579,1278,0,688,0,0,0,1736,0,0,0,6108,620,0,11394,N,N,Y
KRAS,0,0,4,117,526,9,1,14,4,31,1517,369,11,24,44,10,16,4,325,15,12572,6,16,14,1326,0,0,861,3,12,18,424,Y,Y,Y
CACNA1C,0,0,49,0,483,75,92,193,21,132,4081,987,131,221,213,386,118,3914,0,206,1042,56,53,46,1327,0,0,9,10121,130,10,0,N,N,N
ADAMTS20,0,0,3553,159,1067,0,2358,227,2806,544,2331,1278,283,139,382,98,107,220,0,143,644,0,0,0,0,1531,1779,0,3241,75,0,0,N,N,Y
TENC1,0,0,0,0,16338,0,14052,13599,14094,6619,8736,13668,13760,4349,15705,8132,0,0,0,0,0,0,2066,0,1328,0,0,0,11058,3417,0,0,N,N,Y
LACRT,0,0,6704,0,52848,0,5603,6811,7316,6191,8479,7343,9441,7462,8427,3300,0,1002,2703,0,6162,0,0,0,0,0,0,0,3520,5195,0,4017,N,N,N
GLIPR1,0,0,0,0,7144,0,2246,1184,125,3756,13081,9742,4456,5639,4470,1501,0,2352,1373,0,8612,0,0,0,0,1326,517,0,107,2630,0,4072,N,N,Y
NALCN,0,0,2802,177,1771,0,1739,138,427,505,1376,811,230,110,155,124,95,224,8333,216,10083,0,44,38,1432,0,0,0,4903,62,0,1765,N,N,Y
PABPC3,0,76,1177,0,2524,0,634,2133,4052,1950,12285,5672,878,4483,2643,1470,0,4804,6220,0,7894,0,0,0,1329,0,0,0,1046,726,0,7048,N,N,Y
MIR1247,0,0,0,0,0,0,13281,9224,13481,0,0,0,0,0,0,2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
TRAC,0,0,0,0,0,0,12896,6429,13199,0,0,0,0,0,0,23313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
MYH7,0,490,554,0,220,167,15,31,20,39,337,1480,197,111,381,933,180,3014,0,16,0,0,60,51,247,0,0,0,1114,253,0,11872,N,N,N
RPL10L,0,0,662,0,568,0,1096,3045,3026,1866,2509,6529,1360,2035,3109,441,0,1377,595,0,5356,0,0,0,1330,0,0,0,3130,1530,0,5563,N,N,N
TRIM9,0,0,3062,0,10360,0,5392,4950,5642,4004,3857,5000,320,3397,4141,9136,0,2793,7070,0,11046,0,1637,1212,1331,0,0,0,10771,4786,0,10335,N,N,N
L3HYPDH,0,0,0,0,0,0,7235,4549,11456,8631,12483,11359,7417,8071,6917,6547,0,0,0,0,698,0,0,0,0,0,0,0,4152,7857,0,2165,N,N,N
RTN1,0,0,0,0,6808,0,3731,266,2470,2649,5977,6721,1473,1326,2070,636,0,140,4948,0,704,0,658,0,4318,0,0,0,12720,1179,0,11664,N,N,N
KCNH5,0,0,2755,0,1928,727,672,858,678,791,2746,3808,541,677,1293,2900,0,956,1759,0,634,0,0,0,0,0,0,0,12812,799,0,9305,N,N,N
SERPINA3,0,0,0,0,4297,151,418,1157,2556,738,2095,6814,974,821,2079,1878,0,4689,0,0,0,0,773,0,4828,0,0,0,4359,1418,0,8660,N,N,Y
TRPM1,0,0,0,0,6404,0,2654,859,108,2229,479,6892,1825,911,2083,1727,0,4527,5262,0,9718,0,0,0,1781,0,0,0,12066,666,0,7571,N,N,Y
CASC5,0,0,638,0,30402,0,13917,13051,13977,14423,4163,0,14602,10417,0,7386,0,0,0,0,0,1213,1000,816,162,0,0,0,3924,4252,0,0,N,N,Y
SPPL2A,0,0,6052,0,10447,0,4281,1661,8790,5140,8714,9274,2524,4408,4334,8110,0,0,8319,0,12066,0,1691,1141,0,0,0,0,624,4356,0,10284,N,N,N
WDR72,0,0,0,0,18475,0,9095,1953,5381,6110,13052,9297,5464,5611,4341,7003,0,1934,3934,0,8148,0,0,0,1332,0,0,0,6053,1657,0,5395,N,N,Y
VPS13C,0,0,0,0,6403,0,1998,489,1969,1122,3429,3970,706,465,944,2174,0,1324,3796,0,701,0,0,0,1787,0,0,0,2770,195,0,1579,N,N,N
NEIL1,0,0,4775,0,35271,0,4521,3431,4381,8930,10613,9995,6530,11831,9310,12895,0,0,1498,0,5976,0,0,0,1333,0,0,0,19314,12721,0,3698,N,N,N
ACAN,0,0,341,0,6343,155,356,157,542,375,1246,690,186,127,122,194,137,211,0,170,12973,58,114,81,1334,0,0,895,2362,166,48,0,N,N,Y
SMG1,0,0,132,0,22731,408,721,1004,429,995,1003,2968,692,499,1667,6876,0,2677,0,0,0,721,283,229,1335,0,0,0,4766,1157,0,12239,Y,N,Y
DCTN5,0,0,8085,0,5867,0,6769,7957,4790,10480,15785,734,6732,13176,3395,5254,0,0,6552,0,12994,1123,5304,4209,618,0,0,209,7011,9389,0,7197,N,N,N
ERN2,0,0,2789,0,7715,0,969,526,2307,4641,3754,5903,1606,1948,3022,7212,0,3745,8284,0,12638,0,0,0,1336,0,0,0,4429,3017,0,1594,N,N,Y
TNRC6A,0,0,1764,0,16094,0,3460,1742,146,3837,217,3983,2217,2450,2227,6925,0,3025,4825,0,5458,0,585,536,1170,0,0,0,5289,1507,0,7790,N,N,N
ZNF48,0,0,0,0,34206,0,9537,1564,5386,10203,8163,11634,8668,5730,7071,3513,0,666,0,0,0,0,0,0,5104,0,0,0,2886,3823,0,3967,N,N,N
SLC6A10P,0,0,0,0,0,0,12469,3732,12926,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,149,525,0,0,0,0,0,N,N,N
C16orf71,0,0,0,0,26074,0,12665,5054,9394,0,0,0,0,0,0,11427,0,0,4630,0,8492,0,0,0,0,0,0,0,16087,11073,0,6361,N,N,N
ZNF423,0,0,2989,0,7615,487,1647,804,2492,1468,3919,2940,1258,653,1303,488,0,2693,553,0,5828,0,411,307,1337,0,0,0,1396,418,0,3994,N,N,N
CES1,0,0,4681,0,6802,0,4859,2647,2606,5394,2457,6017,1758,1807,4180,8403,0,1199,0,0,7826,0,1377,1155,0,0,0,0,10147,6099,0,0,N,N,N
ABAT,0,0,4203,0,12882,0,3484,4909,3865,5357,7525,10980,4912,2131,6730,8223,0,0,6464,0,13557,0,1222,983,0,0,0,0,11595,4371,0,7031,N,N,N
USP7,0,0,199,0,6974,594,50,1693,105,45,31,67,428,973,453,6928,0,4328,2766,0,694,0,664,517,2376,0,0,0,4611,1531,0,7810,Y,N,N
MYH2,357,0,56,188,86,18,21,25,53,27,511,704,66,40,154,129,46,3009,227,184,9752,16,0,0,1338,0,0,0,4038,59,0,6986,N,N,Y
PIRT,0,0,0,0,40911,0,13280,9219,8817,16217,8773,14797,15332,14367,13646,3339,0,0,0,0,0,0,0,0,0,0,0,0,19931,13878,0,524,N,N,N
OR1A1,0,0,1988,0,7171,0,12419,3441,2321,7701,4607,5380,5636,1551,4186,2269,0,3478,487,0,454,967,0,0,1339,0,0,0,6937,4050,0,4475,N,N,N
C17orf98,0,0,0,0,22151,0,12599,4617,13006,0,0,0,0,0,0,8325,0,3085,0,0,0,0,0,0,0,0,0,0,3587,6771,0,49,N,N,N
TNS4,0,0,4098,0,52854,0,3898,6034,1941,6135,9407,4049,10632,10064,7811,10849,0,0,3031,0,7693,0,3166,2642,1340,0,0,0,7217,8892,0,4897,N,N,N
HDAC5,0,0,978,0,19156,0,2946,6967,2616,6623,1300,4731,5064,1784,2993,9979,0,0,0,0,643,1785,4736,3402,371,0,0,364,16725,10849,0,0,N,N,N
LUC7L3,0,0,8477,0,52849,0,4937,9225,8899,7066,11803,5405,7509,12223,10039,12679,0,0,0,0,6647,0,7525,5562,1341,0,0,0,18207,13195,0,5330,N,N,N
C17orf64,0,0,0,0,18020,0,12940,6663,7142,0,0,0,0,0,0,9470,0,0,8360,0,10179,0,0,0,0,0,0,0,11503,10731,0,1682,N,N,N
KCNH6,0,0,3578,0,7201,0,1375,5361,2733,644,4762,8685,994,4150,6357,7230,0,351,4428,0,8642,0,0,0,0,0,0,0,5911,2234,0,5437,N,N,N
CHRNB1,0,0,0,0,3775,0,4171,4911,1878,11589,1327,12901,10618,8084,9130,3569,0,4594,9051,0,9872,0,4861,0,0,0,0,0,4062,5874,0,10536,N,N,N
GLP2R,0,0,2944,180,2658,0,2179,1189,1140,4887,13077,3379,5349,5635,4099,1996,0,3691,0,0,0,0,0,0,0,0,0,0,6716,1368,0,394,N,N,N
TTC39C,0,0,0,0,13837,0,10339,9212,11300,13171,17162,15636,12700,16094,14418,14098,0,0,7141,0,9060,0,0,0,0,0,0,0,18083,10037,0,1821,N,N,N
DCC,0,0,465,0,4217,372,28,656,1096,36,8921,1657,441,1523,317,1715,0,3921,772,0,4975,0,211,186,1342,0,0,0,4456,344,0,4364,N,N,Y
CCBE1,0,0,0,0,13730,0,3177,6721,10365,2211,8952,12911,4178,7632,9137,3209,0,1558,7691,0,6729,0,4287,0,0,0,0,0,10905,3896,0,9054,N,N,N
RTTN,0,0,0,0,20075,0,12088,1311,5767,3216,7103,5935,2024,1335,1750,6824,0,2679,4220,0,1030,0,0,0,3036,0,0,0,17483,718,0,1676,N,N,N
TSHZ1,0,0,0,0,13673,0,4402,1738,2562,5159,2367,8784,3893,3303,3556,1316,0,100,7728,0,7514,0,0,0,0,0,0,0,4040,1967,0,8608,N,N,N
SLC1A6,0,0,3750,0,21349,0,4251,2673,1613,4559,7312,8619,5208,2578,4051,2176,0,1671,7666,0,6125,788,1076,1038,0,0,0,0,11291,2401,0,9511,N,N,Y
CYP4F2,0,0,4145,0,13137,0,2779,1107,1382,6289,7518,8768,5134,4352,5334,2660,0,0,504,0,662,0,1576,1127,0,0,0,0,4506,5538,0,11956,N,N,N
REXO1,0,0,0,0,34229,0,9808,9215,5225,13679,12323,14803,14117,8548,13651,13398,0,0,0,0,9662,0,6089,0,1343,0,0,0,18032,11715,0,8002,N,N,N
GDF15,0,127,3059,0,11123,0,3542,7375,765,2177,102,205,10432,4580,7345,5977,0,0,6613,0,8392,1422,4473,3385,0,0,0,0,8821,9226,0,9070,N,N,Y
GMIP,0,0,2187,0,25083,0,2145,2392,1225,6251,2539,8460,4487,7819,8073,8597,0,0,7606,0,10670,0,0,0,1344,0,0,0,12167,7118,0,8502,N,N,N
ZNF430,0,0,6852,0,11599,0,3565,2506,6250,4176,8153,5365,6843,5781,6582,9247,0,3028,5714,0,12962,0,0,0,1295,0,0,0,7331,4587,0,8527,N,N,N
ZNF676,0,0,0,0,3719,0,6037,406,3634,1094,3152,3296,653,329,737,79,0,2605,7882,31,12895,0,0,0,1345,0,0,0,2118,232,0,1844,N,N,N
ZNF730,0,0,4776,0,0,0,12085,1295,12703,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,5104,2842,0,0,N,N,N
FXYD1,0,0,8105,0,58477,0,9160,9227,8107,13118,9039,6080,14022,8276,10060,4589,0,0,0,0,8241,0,0,0,1346,0,0,0,7757,13950,0,4794,N,N,N
PSG8,0,0,0,0,2064,0,12112,1446,3805,4525,3600,7112,2996,2180,2440,1649,0,1139,119,0,686,0,0,0,0,0,0,0,5151,1474,0,12386,N,N,N
IRGC,0,0,0,0,20661,0,12514,4047,9994,6544,9693,8929,4605,3524,3587,684,0,3887,3943,0,619,0,0,0,0,0,0,0,5802,2333,0,7788,N,N,N
CRX,0,0,1977,0,21610,0,813,1463,2945,1384,3467,6243,345,2073,1897,3342,0,4491,7928,0,7941,0,1566,1122,1347,0,0,0,7744,3538,0,8593,N,N,N
KLK7,0,0,3466,0,14501,0,11111,2843,2798,8583,2273,7613,4784,2263,3838,2139,0,31,7074,0,9705,0,0,0,1348,0,0,0,11589,5153,0,6705,N,N,N
ZNF83,0,0,7969,0,15406,0,7830,9210,10013,13466,9849,2781,10501,7909,10263,11075,0,0,4382,0,4922,0,5186,4409,1349,0,0,0,15237,9721,0,8510,N,N,N
DUS3L,622,0,0,0,37494,0,3606,7508,6055,10124,10741,13640,8743,4867,11163,9749,0,0,2987,0,683,0,0,0,0,0,0,0,2997,7710,0,5280,N,N,N
MUC16,0,0,22,6,7797,1,2192,8,9,6,3,56,5,4,25,2,3,2598,0,6,5844,3,4,4,18,0,0,0,5187,3,0,0,Y,N,Y
ACTR3,0,0,8877,0,19560,0,4417,8564,3256,6260,2541,1221,7829,1402,2562,14425,0,0,5084,0,651,1723,5182,4172,0,1267,350,300,5318,11413,50,11628,N,N,N
PCDP1,0,0,0,0,33639,0,14326,14051,14338,0,0,0,0,0,0,10374,0,0,0,0,0,0,0,0,0,0,0,0,13079,0,0,0,N,N,N
CNTNAP5,0,0,0,0,707,45,671,137,734,328,1058,1662,163,51,239,25,66,3706,7640,231,10610,0,0,0,0,0,0,0,3813,70,0,2053,N,N,N
FAM123C,0,0,0,0,24046,0,13411,10220,13588,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
KYNU,0,0,0,0,2584,0,3401,3163,3762,4964,9053,9873,2010,3146,4498,1929,0,467,1292,0,672,0,0,0,622,0,0,0,8816,3465,0,5939,N,N,N
NEB,0,0,363,11,5216,66,6,350,26,2,8,7,249,147,264,6776,148,3621,2400,210,678,86,37,31,1023,0,0,0,4412,114,0,8726,N,N,N
PRPF40A,0,0,523,0,36093,0,12877,6322,3477,12902,4705,4614,10838,4988,3322,8923,0,0,0,0,0,0,3414,2896,1350,0,0,0,2573,7545,0,0,N,N,N
KCNH7,0,0,2416,0,17569,666,342,1060,869,379,2899,4367,394,843,1468,615,0,350,805,0,5146,0,360,283,1351,0,0,0,20030,475,0,4691,N,N,N
CSRNP3,0,0,4693,0,16912,0,12520,4085,8282,6521,5002,4930,4580,2978,3384,2581,0,2941,7621,0,9734,0,0,0,1352,0,0,0,5541,1823,0,7284,N,N,N
SCN9A,0,0,3534,0,30,396,1684,1040,2544,955,2482,4093,650,616,1373,1391,0,4506,0,0,12370,0,0,0,1353,0,0,0,9407,567,0,0,N,N,Y
COL3A1,0,0,111,136,270,68,47,228,297,188,1099,769,98,83,144,133,106,3097,1879,200,614,66,0,0,2508,0,0,894,1803,103,0,434,N,N,Y
DNAH7,0,0,769,0,91,61,643,93,263,376,1419,1239,165,80,242,823,82,2760,125,140,13142,39,0,0,1354,0,0,900,11300,120,0,4502,N,N,N
TTLL4,0,0,0,0,21396,0,8106,8135,13372,8876,15807,13248,11684,13198,10853,9147,0,0,2227,0,699,0,0,0,2510,0,0,0,15020,4672,0,4538,N,N,N
TCF23,0,0,0,0,21479,0,6962,5196,6239,6646,13830,10214,5962,7105,5429,1680,0,4918,4217,0,5026,0,0,0,0,0,0,0,4996,3553,0,5497,N,N,N
LHCGR,501,0,2324,0,5385,0,2917,3545,2252,2679,4030,3573,3157,2729,4723,1943,0,577,106,0,594,0,0,0,0,0,0,0,15948,2517,0,3831,N,N,N
ENTPD6,0,0,0,0,2289,0,3516,5491,4517,5024,7551,11348,3148,6593,6913,8516,0,3496,3289,0,11826,0,2695,0,1355,0,0,0,4852,7340,0,276,N,N,N
CPXM1,0,0,0,0,3117,0,4097,3754,6823,2410,7818,9579,1686,2673,4424,5271,0,2122,454,0,13539,0,720,0,3871,0,0,0,3451,2762,0,12242,N,N,N
FASTKD5,0,0,3906,0,22135,0,12386,3234,3441,9233,11030,7331,7027,5166,4914,1133,0,604,7353,0,7450,0,2058,1440,1356,1368,1390,0,510,4026,0,9891,N,N,Y
C20orf152,0,0,0,0,20242,0,14327,14052,14339,0,0,0,0,0,0,9495,0,0,0,0,0,0,0,0,0,423,1509,0,0,0,0,0,N,N,N
PTPRT,0,0,2547,0,3743,101,1130,434,2569,597,1941,2266,418,235,651,445,0,2444,5413,219,6268,0,0,0,1135,0,0,0,2411,292,0,9151,N,Y,Y
KRTAP21-2,0,0,0,0,58488,0,13282,9226,10080,16281,16695,15218,15397,15627,14039,2329,0,0,6405,0,10773,0,0,0,0,0,0,0,2999,8541,0,7437,N,N,N
TRPM2,0,0,0,0,6488,521,4080,2309,3366,2002,2472,6550,1178,1207,2051,2314,0,4528,12,0,144,0,0,0,1357,0,0,0,1717,667,0,3000,N,N,N
ZMAT5,0,0,8070,0,9274,0,10764,9211,8666,15068,14413,8414,14088,13049,12219,4132,0,0,0,0,12860,0,0,0,0,1224,303,0,12834,11046,0,2755,N,N,N
APOL5,0,0,0,0,26978,0,9598,3040,8375,13164,14214,13431,10287,12429,10986,11230,0,0,2123,0,630,0,5236,0,0,0,0,0,14019,13628,0,5743,N,N,N
ZBED4,0,0,0,0,27131,0,1134,1618,5182,1800,10313,8370,3814,3919,3478,6144,0,4610,1864,0,628,0,699,0,1919,700,1057,0,4078,2217,0,4746,N,N,N
C3orf30,0,0,0,0,26429,0,12498,3958,6305,0,0,0,0,0,0,7742,0,1907,0,0,0,0,0,0,0,0,0,0,13639,3400,0,0,N,N,N
GPR156,0,0,0,0,8299,0,2550,5065,3976,3602,8094,11643,882,5860,7073,6695,0,1310,489,0,5576,0,0,0,0,0,0,0,16623,2338,0,12151,N,N,N
PRR23B,0,0,0,0,38722,0,12826,6008,11950,12995,14003,12041,10932,10883,8554,5597,0,0,375,0,400,0,0,0,0,0,0,0,15851,9869,0,3422,N,N,N
ZIC4,0,0,0,0,1927,276,2728,539,1503,1183,2261,3826,809,333,934,294,0,1471,7318,0,8722,0,214,0,0,0,0,0,60,347,0,7227,N,N,N
BCHE,0,0,2782,0,1639,540,2805,1143,3326,1412,2721,4769,850,943,1507,300,0,3686,4086,0,11988,410,0,0,1358,0,0,788,2416,542,0,475,N,N,N
TFRC,0,0,1823,0,3299,0,3404,8087,1135,3388,415,181,5973,1012,6004,9102,0,3276,1815,0,4991,1244,2510,1932,1359,0,0,0,9373,4612,0,4150,N,N,Y
KAT2B,0,0,166,0,12558,0,67,2538,153,48,54,93,1254,625,1077,3420,0,4286,3540,0,6978,0,1469,1285,1360,0,0,0,2942,3100,0,5220,N,N,Y
RPL15,0,0,1690,0,21679,0,2355,7467,3749,5339,3928,5540,4124,7988,6317,13458,0,0,1696,0,650,0,5829,4541,7409,0,0,0,19215,12285,0,4707,N,N,N
EOMES,0,0,6564,0,17395,0,6756,9228,5493,8216,5006,11061,12763,8038,12959,9782,0,0,8509,0,10146,0,7961,5494,0,0,0,0,17664,8301,0,400,N,N,N
ZNF860,0,0,0,0,33576,0,12339,2887,5945,12965,8674,12931,10901,6339,9151,11076,0,0,546,0,303,0,0,0,1361,0,0,0,3204,9477,0,11790,N,N,N
TRIM71,0,0,3456,0,4430,0,3255,3516,2792,9102,14542,6948,7978,8892,5896,9135,0,2721,6157,0,7250,0,0,0,1362,0,0,0,17323,5480,0,8485,N,N,N
ITIH4,712,0,4652,0,47695,0,3882,7248,3673,4305,1672,10583,2883,1723,7005,10064,0,0,1772,0,2395,0,2415,2244,0,0,0,0,8245,10852,0,3660,N,N,Y
ROBO2,0,0,1001,0,4325,271,146,188,795,374,5634,1324,304,428,281,1460,200,1951,8392,9,9452,0,134,125,1363,0,0,0,2406,376,0,7933,Y,N,N
ANK2,624,0,27,56,2591,17,53,21,45,103,536,550,18,15,73,217,20,2842,0,171,696,14,19,16,3,0,0,47,2035,23,14,0,N,N,Y
PRSS12,0,0,0,0,28969,0,5724,5043,9024,6167,8970,10627,6038,3845,5566,6477,0,3008,2079,0,5923,0,0,0,0,0,0,0,3935,5838,0,3989,N,N,N
BBS7,0,0,1860,0,8990,0,2501,2170,3473,2334,5644,4714,3655,3675,3282,5610,0,5025,1332,0,6069,0,0,0,1364,0,0,0,6762,4755,0,4245,N,N,N
TRPC3,0,0,957,0,3994,592,519,1487,786,973,1284,2115,1146,940,734,3557,0,3000,0,0,10440,0,607,534,1365,0,0,0,5567,1429,0,0,N,N,N
NKX3-2,0,0,7064,0,50100,0,7467,9222,8023,10651,8963,12079,11227,9436,12951,3724,0,0,0,0,5342,0,0,0,0,0,0,0,19903,13698,0,6680,N,N,N
