genenames,CHASM,DawnRank,EntroRank,Intdriver,MA,MCGfinder,MaxMIF_HumanNet,MaxMIF_Influencegraph,MaxMIF_STRINGv10,Muf_max_HumanNet,Muf_max_STRINGv10,Muf_max_influencegraph,Muf_sum_HumanNet,Muf_sum_STRINGv10,Muf_sum_influencegraph,Music,NMTF,OncodriveClust,OncodriveFM,RME,SIFT,Subdyquency,Unicovex_PPR,Unicovex_influencegraph,activedriver,dendrix_frequency,dendrix_weight,diffusion,dndscv,dotsfinder,drivernet,polyphen-2,ncg_6,cgc,ccgs
MKNK2,0,0,7268,0,29826,0,6049,7717,5744,8398,4363,3332,8647,12722,10939,11541,0,0,0,0,6105,0,6366,4573,2331,0,0,0,16992,10750,0,8738,N,N,Y
TLE6,307,0,1545,0,24876,0,3000,2827,1597,5065,3489,3975,5468,2254,2365,9654,0,0,6661,0,8333,0,0,0,0,0,0,0,6523,3927,0,6505,N,N,N
CHST8,0,0,3579,0,4269,0,11421,2122,6648,11088,11453,9922,8827,5516,6410,1155,0,223,5484,0,10314,0,0,0,0,1501,1065,0,3912,1556,0,1801,N,N,N
CHAF1A,393,0,812,0,20502,0,1280,1892,2181,3290,3263,2672,1920,2138,2509,8039,0,0,4193,0,1352,553,1116,761,3309,0,0,0,7368,3684,0,6009,N,N,Y
LMTK3,0,0,0,0,28507,0,5478,5462,8421,4934,11106,11250,6314,5968,6759,434,0,2743,0,0,0,0,2204,0,2332,0,0,0,2040,1682,0,0,N,N,Y
MIR512-1,0,0,0,0,0,0,12205,7718,12500,0,0,0,0,0,0,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N
PLGLA,0,0,0,0,0,0,12200,7709,12498,0,0,0,0,0,0,5904,0,0,0,0,0,0,0,0,0,925,555,0,0,0,0,0,N,N,N
MERTK,0,0,2486,0,4573,0,4470,2960,3287,3309,3032,5361,3036,872,2711,2365,0,3592,37,0,169,0,889,908,599,0,0,0,3223,1504,0,2617,N,N,Y
ASNSD1,0,0,0,0,31494,0,4605,4972,6692,12852,10293,0,12874,13178,0,10030,0,0,689,0,1333,0,0,0,6303,0,0,0,17297,12931,0,2535,N,N,N
HADHA,0,0,2593,0,24766,0,2548,2762,3515,5656,3888,9892,4585,2347,4510,3575,0,0,551,0,565,0,2169,1649,2333,0,0,0,6350,4599,0,10387,N,N,N
CCDC88A,0,0,2777,0,8733,459,3914,1391,2986,2978,5720,4134,2308,1233,1977,5815,0,1618,0,0,8954,0,555,434,2334,0,0,0,1384,468,0,0,Y,N,Y
