"genenames","CHASM","DawnRank","EntroRank","Intdriver","MA","MCGfinder","MaxMIF_HumanNet","MaxMIF_Influencegraph","MaxMIF_STRINGv10","Muf_max_HumanNet","Muf_max_STRINGv10","Muf_max_influencegraph","Muf_sum_HumanNet","Muf_sum_STRINGv10","Muf_sum_influencegraph","Music","NMTF","OncodriveClust","OncodriveFM","SIFT","Subdyquency","Unicovex_PPR","Unicovex_influnecegraph","activedriver","dendrix_frequency","dendrix_weight","diffusion","dndscv","dotsfinder","drivernet","polyphen-2","ncg_6","cgc","ccgs"
"SPRED3",4741,0,0,0,3252,0,5669,5193,6695,9803,16157,14099,9759,12003,10920,95,0,0,0,7321,0,0,0,0,0,0,0,1699,1883,0,840,"N","N","N"
"MCM10",4437,0,6294,0,4778,0,1689,5557,9643,5558,15939,6301,7691,11785,6627,2392,0,193,0,0,0,4060,3152,2975,0,0,0,9444,2404,0,6152,"N","N","N"
"IL18",4449,0,5885,0,0,0,4283,5564,1860,5963,1675,655,2611,6032,2442,4023,0,0,0,11201,0,5035,4127,4262,0,0,0,14233,10153,0,749,"N","N","N"
"IL18BP",12177,0,3349,0,0,0,4427,5563,5494,10641,6856,11413,8532,8434,8618,6571,0,0,0,2396,0,5034,2752,0,0,0,0,1615,10394,0,0,"N","N","N"
"NDUFA9",3548,0,1157,0,3192,0,3239,4965,5182,6075,13751,6866,3402,6648,4478,10890,0,0,0,8723,0,0,0,4263,0,0,0,7503,5089,0,7449,"N","N","N"
"IL4R",4071,0,793,0,5298,0,1927,2648,177,3917,14013,567,3119,6908,2380,7057,0,563,0,6247,1258,2103,1679,926,0,0,0,4879,1471,0,8241,"N","N","N"
"XPO6",2387,0,1702,0,7129,0,2389,2241,2278,2429,4504,6716,3069,1025,1371,8213,0,0,2303,2492,0,957,842,4742,0,0,0,8538,3601,0,7804,"N","N","N"
"USH1G",8668,0,5324,0,11863,0,1775,4550,9537,2412,4427,4069,4350,2744,1481,4478,0,0,0,0,0,2199,1928,0,0,0,0,19889,7568,0,9129,"N","N","N"
"MBD3",5579,0,6521,0,15114,0,1830,5559,4349,1649,15716,1734,3601,11562,1522,2324,0,0,0,2392,0,3939,3120,771,0,0,0,14884,8111,0,2583,"N","N","N"
"NLRP2",6316,0,1845,0,1694,0,732,2047,6297,1085,9315,4572,1367,2079,2043,6562,0,0,4368,8164,0,441,509,2950,0,0,0,36,280,0,5982,"N","N","N"
"ANKRD30BL",0,0,0,0,0,0,9356,5587,9645,0,0,0,0,0,0,4366,0,0,0,0,0,0,0,0,0,0,0,10311,0,0,0,"N","N","N"
"SLC4A5",3274,0,0,0,2591,0,4582,1141,9200,3255,5871,7196,1769,1314,2093,407,0,1171,0,0,0,0,0,2646,0,0,0,1220,505,0,1596,"Y","N","N"
"SCRT2",3077,0,5491,0,0,0,5407,5541,5094,7646,6031,6740,8433,8856,7777,282,0,0,0,6607,0,0,0,0,0,0,0,18258,9503,0,5351,"N","N","Y"
"PIWIL3",7414,0,1207,131,5668,0,5416,839,4562,3501,7395,2741,2427,1628,1260,1913,0,2230,4264,10342,0,0,0,0,0,0,0,9639,1154,0,9136,"N","N","N"
"CD200R1L",9674,0,0,0,7728,0,9355,5581,8511,13726,13479,12510,11816,10806,9628,4781,0,0,0,9706,0,0,0,0,0,0,0,18893,11154,0,1003,"N","N","N"
"ZNF721",10243,0,0,0,1184,0,6819,4892,4501,7878,13895,11249,6824,6792,6049,9204,0,0,0,646,0,0,0,4265,0,0,0,15196,3957,0,0,"N","N","N"
"UGT2A1",9146,0,1437,0,1477,0,3401,975,9176,5363,12280,4453,2668,3911,2528,5554,0,0,0,2428,0,0,0,0,0,0,0,7048,3645,0,0,"N","N","N"
