"genenames","CHASM","DawnRank","EntroRank","Intdriver","MA","MCGfinder","MaxMIF_HumanNet","MaxMIF_Influencegraph","MaxMIF_STRINGv10","Muf_max_HumanNet","Muf_max_STRINGv10","Muf_max_influencegraph","Muf_sum_HumanNet","Muf_sum_STRINGv10","Muf_sum_influencegraph","Music","NMTF","OncodriveClust","OncodriveFM","SIFT","Subdyquency","Unicovex_PPR","Unicovex_influnecegraph","activedriver","dendrix_frequency","dendrix_weight","diffusion","dndscv","dotsfinder","drivernet","polyphen-2","ncg_6","cgc","ccgs"
"ABLIM1",988,0,1514,0,445,0,991,457,9128,2557,12299,2633,1477,3930,2780,7817,0,0,0,11120,0,1111,949,1101,0,0,0,15414,2710,0,9108,"N","N","N"
"MAP6",6446,0,0,0,20962,0,5612,718,5511,7799,13842,10731,6913,6739,5781,2193,0,0,0,6018,0,1355,0,1102,0,0,0,17321,5470,0,6057,"N","N","N"
"ADAMTS20",240,0,2581,0,33,0,3223,562,4980,2948,7512,4967,3592,2372,3083,929,107,2507,0,10554,0,0,0,0,0,0,0,5457,456,0,0,"N","N","Y"
"SPTB",1197,0,179,0,1705,0,318,106,743,665,5703,1253,491,332,496,1349,0,839,0,0,148,178,145,1103,0,0,556,4476,190,0,0,"N","N","Y"
"PIEZO1",1901,0,0,0,0,0,3273,389,2135,4164,7670,9505,2931,2279,3569,8880,0,0,0,6832,0,0,0,1104,0,0,0,12623,6405,0,6840,"N","N","N"
"SOX15",7700,0,5797,0,0,0,3878,1065,2541,10430,3757,2998,4552,7279,7458,2295,0,0,0,4922,976,4975,2199,1105,0,0,0,8014,10564,0,4431,"N","N","N"
"WIZ",6608,0,2582,0,30079,0,8495,275,1472,6376,3507,8703,4199,1426,3357,390,0,2588,0,726,0,916,630,1056,0,0,0,10240,2350,0,0,"N","N","N"
"ZNF574",8198,0,0,0,6952,0,2109,728,2120,5536,4905,10746,4734,4274,5792,2028,0,1001,4556,8231,0,0,0,1106,0,0,0,7814,2960,0,7459,"N","N","N"
"OTOR",8018,0,0,0,0,0,8626,1069,7403,14003,12904,14206,12096,9992,11000,3977,0,0,0,3779,0,0,0,0,0,0,0,11170,12016,0,8614,"N","N","N"
"AGAP3",6484,0,0,0,7309,0,159,598,3179,362,9398,11113,4277,4500,5978,3885,0,1585,0,237,0,0,0,1107,0,0,0,1814,1120,0,0,"N","N","N"
"P2RY10",2622,0,5307,0,14736,0,964,1068,73,10682,5265,9228,8213,7826,7411,5672,0,0,0,762,1488,0,0,0,0,0,0,13442,6442,0,1983,"N","N","N"
"MYB",632,0,158,0,4259,334,461,60,12,791,6,10,253,50,216,86,0,1822,0,11481,154,89,74,2265,0,0,678,22,156,0,0,"Y","N","Y"
"STEAP1B",9719,0,0,0,0,0,8568,676,4727,0,12981,0,0,16305,0,1189,0,0,0,11530,0,0,0,0,0,0,0,647,3213,0,0,"N","N","N"
"KIRREL",3849,0,778,0,3390,0,2043,943,2025,11969,0,0,15333,0,0,5234,0,0,0,0,552,561,421,1108,0,0,0,3251,1171,0,0,"N","N","N"
"DCAF8",0,0,2403,0,17084,0,5138,1794,9261,7505,13839,9041,6745,6736,4238,9991,0,0,0,0,0,1746,1295,0,0,0,408,14992,13202,0,0,"N","N","N"
"SLC44A3",10054,0,4255,0,12607,0,8934,3074,6241,9637,10674,7924,7241,3540,5362,11571,0,0,3021,6448,0,2220,1780,0,0,0,0,16730,7650,0,6052,"Y","N","N"
"ANK3",1012,0,154,89,1771,239,774,774,451,726,2191,1247,283,77,418,1453,0,1467,831,5092,178,151,137,45,0,0,570,686,62,179,3459,"Y","N","Y"
"SIDT2",2188,0,0,0,5521,0,5559,2758,7241,4328,9196,9332,2063,2901,3524,3673,0,214,1901,4581,0,0,0,1109,0,0,0,6553,2408,0,5760,"N","N","N"
"ZFP91",538,0,0,0,3093,0,6761,3783,3946,10696,5098,12149,7635,4294,9331,4869,0,0,0,9195,0,3205,0,1110,0,0,0,11862,5626,0,7391,"Y","N","N"
"HECTD4",2722,0,0,0,0,0,4354,647,3118,0,0,0,0,0,0,1027,0,0,0,6059,0,0,0,0,0,0,0,1407,112,0,0,"N","N","Y"
"ZNF740",8019,0,2583,0,14445,0,9047,3781,3944,13557,5139,11390,11646,7144,8569,2867,0,0,0,537,0,0,0,1111,0,0,0,11582,11788,0,5742,"N","N","N"
"WDR72",2935,0,0,0,11721,0,5847,142,3242,1338,7250,4161,616,477,708,96,0,978,73,198,0,0,0,1112,10,13,0,2621,461,0,9405,"N","N","Y"
"PKD1",7421,0,1268,0,9476,0,157,675,128,563,508,3629,271,904,2656,5368,0,0,421,759,0,1319,951,4218,0,0,0,5103,2473,0,3355,"N","N","Y"
"EIF3G",4080,0,650,0,16952,0,507,1169,2321,2136,4800,4686,2144,2385,2716,10100,0,0,2302,677,750,1197,840,162,0,0,0,17317,10049,0,6027,"N","N","N"
"KLK15",5780,0,0,0,2007,0,8948,3139,3661,9548,14012,10515,7150,6907,5671,1122,0,510,3211,10423,0,2007,0,0,0,0,0,2575,3265,0,1651,"N","N","N"
"ZNF544",6215,0,0,0,5993,0,4948,1175,9204,2191,4563,6045,1392,681,1405,336,0,827,2651,6387,0,337,0,1113,0,0,0,3342,826,0,8857,"N","N","N"
"LRP2",491,0,40,121,13,26,99,43,483,511,2095,1150,21,31,84,146,110,2423,4333,10727,33,20,19,1114,0,0,691,514,29,105,652,"N","N","Y"
"CSTL1",11249,0,0,0,18384,0,6622,3169,9393,7340,13974,10146,6354,6870,5477,14003,0,0,0,745,0,0,0,0,0,0,0,12913,12918,0,0,"N","N","N"
"FAM182B",9589,0,0,0,0,0,9054,3814,9453,0,0,0,0,0,0,2986,0,0,0,0,0,0,0,0,0,0,0,4877,0,0,0,"N","N","N"
"CPEB2",225,0,2052,0,2285,0,4733,1790,4775,3932,8179,5570,3947,2304,3206,1132,0,176,3168,11173,0,0,0,1115,0,0,0,15509,2398,0,7059,"N","N","N"
"LRBA",2804,0,0,0,3003,165,844,69,1157,699,2688,2448,186,89,295,7379,0,2422,2642,9742,0,38,0,1116,0,0,0,2048,105,0,7930,"N","N","Y"
"PCDHA6",8452,0,2571,0,6769,0,1832,618,2900,1648,5664,983,2728,3272,1082,8066,0,1801,0,11010,661,1110,857,1117,0,0,33,17242,0,55,0,"N","N","Y"
"PGC",10169,0,2584,0,6330,0,2909,3801,4770,5356,4263,6889,1615,8935,8661,11083,0,0,3690,7689,0,0,0,0,0,0,0,17013,9097,0,6424,"N","N","N"
"CDHR3",8904,0,0,0,2128,0,2745,1492,7103,2664,12285,9362,107,3916,3531,6994,0,0,2832,6530,0,0,0,1118,0,0,0,2635,3761,0,7995,"N","N","N"
"COL14A1",1977,0,132,139,734,145,1896,108,800,785,4479,1440,191,72,286,3503,135,655,139,3907,97,0,0,1119,0,0,670,14151,420,126,2484,"N","N","N"
"CNTFR",5584,0,661,0,4597,0,1525,1248,3171,2218,7244,4051,2561,2518,2523,3903,0,0,0,8519,0,1204,992,0,0,0,0,1601,5543,0,444,"N","N","N"
"L1CAM",4296,0,819,0,984,0,315,1347,9222,1021,6214,1302,830,1962,658,2839,0,671,0,0,701,962,634,1120,0,0,0,11481,1943,0,475,"N","N","N"
"CXorf58",6841,0,0,0,5698,0,8532,423,6141,0,0,0,0,0,0,7668,0,1155,4155,8463,0,0,0,0,0,0,0,2420,1749,0,1469,"N","N","N"
"CASK",1703,0,460,0,2145,0,158,1012,1865,499,9262,2189,153,1246,209,5924,0,1078,0,278,0,267,340,1121,0,0,0,1351,768,0,0,"N","N","N"
"TLR5",8541,0,1588,0,18396,0,752,2283,9305,1543,14042,6193,3633,6937,5068,4297,0,0,0,0,0,2409,1905,6510,0,0,0,2015,5114,0,0,"N","N","N"
"SNX5",11250,0,1958,0,18395,0,1111,2666,3672,3819,3776,7022,5082,4314,4556,4406,0,0,0,11236,0,2628,1981,0,0,0,0,398,5418,0,0,"N","N","N"
"RP1",7088,0,2585,0,4101,0,860,515,1291,9142,9070,0,15311,12102,0,136,0,1624,3600,11340,0,0,0,1598,0,0,0,2128,166,0,609,"N","N","N"
"KLHL20",4686,0,4567,0,4943,0,6259,832,3807,8210,9325,6054,6577,4660,5157,10616,0,0,1594,664,0,2004,1508,3997,0,0,0,17565,10580,0,9161,"N","N","N"
"DCDC2B",9967,0,0,0,10244,0,8878,2726,2367,13665,12395,12041,11754,9998,9244,3180,0,0,760,676,0,3056,0,6233,0,0,0,12699,9861,0,3292,"N","N","N"
"SYDE2",3767,0,1017,0,5845,0,8579,767,1588,6311,4702,6185,4134,2657,2910,1697,0,2573,2191,4709,619,0,0,1122,0,0,0,12841,3579,0,4706,"N","N","N"
"TBC1D12",6305,0,0,0,4491,0,8865,2688,3790,13544,6278,13617,11632,6395,10531,11728,0,0,0,9270,0,0,0,1123,0,0,0,15295,11477,0,6580,"Y","N","N"
"B3GNT1",0,0,0,0,15202,0,10230,10141,10233,8265,7561,8920,13346,14605,12246,5261,0,0,0,0,0,0,0,0,0,0,0,16233,7506,0,0,"N","N","N"
"CHEK2P2",0,0,0,0,0,0,8518,360,9115,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N","N","N"
"MGA",2999,0,1054,0,7403,333,420,127,870,674,4530,1894,131,187,329,7234,0,1551,0,6975,0,63,44,1043,175,17,0,2633,181,0,0,"Y","N","N"
"ARRDC4",1127,0,0,0,4230,0,1630,2737,3101,4993,7623,12133,8498,5698,9315,3373,0,0,0,7252,0,0,0,1124,0,0,0,17002,8469,0,4567,"N","N","N"
"CDH1",104,0,4,6,105,8,42,5,3,282,2,2,6,6,10,4,0,49,0,0,6,6,6,1125,0,0,706,3,6,1,363,"Y","Y","Y"
"APLF",2536,0,5582,0,5927,0,8767,2053,2207,9499,9489,4016,7099,5844,4492,1604,0,2058,2824,666,0,1449,1275,5368,0,0,0,6757,3373,0,8461,"N","N","N"
"IMPDH2",3067,0,2586,0,17276,0,773,1884,2612,2891,6848,6481,1878,1006,5203,10511,0,0,225,727,0,2107,1691,940,0,0,0,18969,11567,0,9278,"N","N","N"
"LRIG1",6490,0,5049,0,17703,0,2945,2713,2343,6523,3116,186,1665,5432,7129,10701,0,0,2337,687,0,4221,3329,6043,0,0,0,10381,9932,0,4796,"Y","N","N"
"C3orf38",1276,0,0,0,4528,0,8355,2735,4412,0,0,0,0,0,0,8366,0,0,5002,11370,0,0,0,0,0,0,0,1828,4285,0,886,"N","N","N"
"MED23",92,0,126,0,6003,222,240,40,351,723,1475,1227,176,215,320,678,0,1691,3789,11551,132,80,75,1746,0,0,677,23,86,0,1878,"Y","N","Y"
"MRPS18B",10201,0,631,0,5004,0,1758,1587,5583,5325,12399,4823,4909,5930,4061,5404,0,0,0,10214,1254,1471,1122,1126,0,0,0,16383,11309,0,8680,"N","N","N"
"WDR91",1230,0,0,0,11926,0,2333,762,3499,5623,8723,10767,2260,5119,5802,9158,0,0,3028,6373,0,2429,0,1127,0,0,0,9909,5140,0,4579,"N","N","Y"
"WDR86",6868,0,0,0,18104,0,7049,2683,8332,12141,14375,13215,10241,10556,10205,6159,0,0,228,766,0,0,0,0,0,0,0,19590,11564,0,9476,"N","N","N"
"SDR16C5",9391,0,0,0,12609,0,2161,1901,2746,4723,7574,10917,3784,4520,5884,5650,0,0,532,5874,0,0,0,1128,0,0,0,18521,7063,0,2140,"N","N","N"
"ZFHX4",790,0,0,0,2349,0,1100,47,1216,583,4415,1776,58,39,139,50,7,232,0,11259,0,0,0,854,0,0,0,190,24,0,0,"N","N","Y"
"PTCH1",14,0,848,0,2249,0,16,243,214,79,857,1448,108,291,1634,2333,0,354,2550,690,0,603,420,1800,0,0,0,5126,915,0,7559,"Y","N","Y"
"RBM26",5676,0,2493,0,9076,0,4198,1491,3050,3145,7676,6439,1530,2414,3224,2416,0,0,0,7058,0,958,736,670,0,0,0,674,1808,0,0,"N","N","N"
"UNC13C",2280,0,834,0,12778,0,348,78,1575,732,5686,2261,516,269,623,7126,0,1909,185,621,0,0,0,4232,0,0,0,2207,157,0,4491,"N","N","Y"
"KDM5B",667,0,707,0,1629,0,2339,1859,1635,2279,2289,2239,1735,867,1578,7705,0,2523,0,9398,510,1037,1073,1129,0,0,0,9038,2362,0,3582,"N","N","Y"
"TP73",3814,0,5532,0,7753,0,97,4727,438,58,188,263,3800,6449,1307,4504,0,0,0,5072,0,2731,3878,206,0,0,0,19546,11559,0,3837,"N","N","Y"
"PHF13",1709,0,0,0,3680,0,5706,3209,6393,6635,7540,10701,2889,4350,5763,757,0,0,0,8841,0,0,0,0,0,0,0,3841,6763,0,5078,"N","N","N"
"SFMBT2",488,0,0,0,5069,0,2264,766,3893,2072,5546,7888,1702,1299,2172,1371,0,1024,3319,8975,0,0,0,1130,0,0,0,2638,681,0,4986,"N","N","N"
"MUC5B",5886,0,85,8,5976,0,7953,19,68,525,1276,1260,31,14,65,24,0,73,0,0,13,0,0,562,0,0,0,331,27,0,6340,"N","N","Y"
"EXT2",1839,0,1263,0,6438,0,788,2229,2090,2332,3649,2965,2831,2118,2365,1737,0,2451,1375,5354,804,1295,1072,0,83,243,204,1171,723,0,3333,"Y","N","Y"
"PPFIBP2",2122,0,0,75,18455,0,1041,553,2669,2292,7208,9147,3679,2689,3478,11169,0,0,4754,9802,0,811,0,1131,0,0,0,8110,9211,0,8491,"N","N","N"
"KRT86",7017,0,1273,0,4902,0,7298,3147,9081,8017,13565,5350,6437,6575,3062,6800,0,0,3605,9244,0,1993,1521,1132,0,0,0,8587,6597,0,5752,"N","N","N"
"ACRBP",10294,0,0,0,26193,0,9217,4786,6040,13609,10313,14141,11698,6433,10951,8240,0,0,0,4502,0,0,0,0,0,0,0,4844,6624,0,4820,"N","N","N"
"BEST3",10894,0,0,0,6257,0,9065,3875,6327,9492,10070,11671,7092,4809,6257,8320,0,0,0,11525,0,0,0,0,0,0,0,4618,5872,0,2933,"N","N","N"
"KITLG",4031,0,1772,0,7077,0,1714,1888,119,3121,13829,572,3342,6726,1754,972,0,866,1008,5440,0,1979,1541,0,0,0,0,2197,3723,0,2294,"N","N","Y"
"SKOR1",4016,0,1089,0,0,0,2620,509,1388,3047,10510,4244,2010,2151,1773,5692,0,942,0,9326,0,0,0,0,262,21,0,11653,3331,0,0,"N","N","N"
"SPPL2C",6580,0,0,0,0,0,8162,3513,5923,8887,11950,10820,6922,5180,5831,5022,0,0,0,765,0,0,0,0,0,0,0,15510,7109,0,5568,"N","N","N"
"ZNF91",9238,0,4629,0,309,0,4707,2585,3128,5797,4857,5941,4611,3648,3920,3522,0,301,2446,7597,0,2549,2120,1133,0,0,0,9663,1508,0,6887,"N","N","N"
"MUC16",2390,0,35,5,1787,5,3062,8,59,309,1023,991,7,7,16,61,3,1331,0,3813,5,5,5,270,0,0,0,1991,7,0,0,"N","N","Y"
"ARL6IP6",2715,0,0,0,5572,0,5590,1128,7878,5437,11289,8717,3660,3578,3364,205,0,2300,2750,714,0,0,0,3593,0,0,0,186,1863,0,1208,"N","N","N"
"FIGN",889,0,0,0,971,0,3716,2152,5710,2522,10545,6858,2411,2185,2053,3409,0,2215,180,418,0,0,0,1134,0,0,0,3109,1027,0,3601,"N","N","N"
"CECR2",3145,0,1685,0,6298,0,8516,356,349,0,0,0,0,0,0,6178,0,0,0,4014,0,0,0,0,149,36,0,325,266,0,0,"N","N","N"
"H2AFZ",3562,0,5915,0,1799,0,805,4762,2314,1129,1897,2740,2015,1708,6725,4775,0,0,0,11051,1272,0,0,1135,0,0,291,3114,4359,0,3938,"N","N","N"
"HMGB2",4872,0,1832,0,9997,0,151,4018,638,146,13789,3400,1628,6686,4252,472,0,175,0,7401,0,2122,1650,1136,0,0,0,2269,2817,0,4163,"N","N","Y"
"PROP1",8718,0,5134,0,11727,0,4992,2673,3211,7419,6048,2044,6698,3954,4436,1465,0,0,0,9984,0,0,0,0,0,0,0,4903,6920,0,190,"N","N","N"
"KIF2A",953,0,1498,0,12716,0,3174,3175,2366,5060,14030,2938,2084,6925,2526,5808,0,1650,0,7616,0,1987,1531,1137,0,0,0,3203,1574,0,0,"N","N","Y"
"UBE2QL1",1830,0,0,0,0,0,9199,4723,3928,13776,15893,12862,11868,11739,9919,3518,0,0,0,6732,0,0,0,0,0,0,0,13202,10474,0,4753,"N","N","N"
"KPNA5",1749,0,1451,0,2900,0,1061,1551,2282,2512,3670,2498,1131,3114,4118,5326,0,0,0,6773,0,1996,1503,1138,0,0,0,7783,4690,0,0,"N","N","Y"
"LAMA2",1742,0,175,30,6052,90,951,102,920,718,2150,1261,138,62,205,5804,0,2067,0,0,73,46,42,1006,0,0,696,6067,216,0,429,"N","N","N"
"CUL7",3061,0,1830,0,7663,0,1692,1742,160,2098,14,2677,1927,1431,963,1193,0,2077,4759,10441,629,487,562,1139,0,0,360,81,244,0,783,"N","N","Y"
"MTO1",2589,0,2587,0,215,0,1990,4052,4368,4543,6262,7881,4519,3552,2171,5338,0,2257,0,4943,0,0,0,1661,0,0,0,3952,1615,0,0,"N","N","N"
"ST7",11251,0,0,0,0,0,3322,2444,4374,11625,11416,0,13417,14160,0,22550,0,0,0,717,0,0,0,0,0,0,0,4530,12777,0,0,"N","N","Y"
"PLXNA4",3555,0,306,141,2244,191,2248,120,1027,956,4560,1807,218,194,217,162,96,2431,2111,209,161,0,0,1140,0,0,0,2842,95,0,1702,"N","N","N"
"MLL3",0,0,0,0,93,15,9190,4680,9556,14928,717,1531,2552,5113,7761,5,31,0,0,0,0,8,0,1141,0,0,0,0,8,0,0,"N","N","N"
"EPPK1",9706,0,2588,0,18740,0,2955,4772,9566,0,0,0,0,0,0,3659,0,0,0,0,0,0,0,6394,0,0,0,2296,6093,0,0,"Y","N","N"
"PTPRD",204,0,1455,0,255,367,830,634,9146,833,7256,2045,383,482,565,294,38,1975,36,708,0,0,0,479,0,0,0,3407,84,0,2299,"Y","N","Y"
"DDX53",9682,0,0,0,10909,0,5633,1530,728,4222,1162,9906,2708,1491,3675,6855,0,1529,728,3841,0,0,0,1142,0,0,0,11449,3422,0,2353,"N","N","N"
"PPFIA4",3341,0,1803,0,5694,0,5670,4079,4107,5561,6555,4648,4962,4767,4049,232,0,0,1670,1811,0,2229,2042,4922,0,0,0,12258,793,0,5817,"N","N","N"
"SCARNA9",0,0,0,0,0,0,8922,2995,9377,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N","N","N"
"C9orf43",9214,0,0,0,12009,0,3158,900,4041,0,0,0,0,0,0,7479,0,892,72,243,0,0,0,0,0,0,0,317,699,0,9540,"N","N","N"
"PADI2",4155,0,2068,0,8884,0,7155,657,1679,3723,4742,6447,2119,1588,2035,4101,0,0,0,7667,0,0,0,0,0,0,0,349,3332,0,1925,"N","N","N"
"CSMD2",653,0,0,0,139,0,5809,111,9092,922,5385,2810,295,117,374,182,53,298,0,728,0,70,0,0,0,0,0,8737,41,0,0,"N","N","N"
"FRMD4A",1,0,1382,0,2493,0,2758,929,3995,2123,5695,3994,1358,577,1138,1784,0,1098,3523,8740,0,316,258,1044,0,0,0,2272,962,0,7646,"N","N","N"
"TYSND1",7879,0,0,0,0,0,5309,4392,6738,10091,10163,13776,8778,6063,10662,4945,0,0,0,3968,0,0,0,0,0,0,0,19808,10198,0,2606,"N","N","N"
"SYNPO2L",1604,0,0,0,7033,0,1412,241,6976,2219,10124,9528,3209,3400,3576,3819,0,0,0,721,0,0,0,470,0,0,0,17844,6024,0,1683,"N","N","N"
"LMO3",211,0,2589,0,0,0,3919,4419,9517,7849,15601,11487,7869,11447,8575,10688,0,0,0,10841,0,4186,3247,0,0,0,0,12299,10014,0,8022,"N","N","N"
"NAV3",1169,0,0,0,4841,179,1090,311,1752,804,6577,3473,325,314,520,1142,24,2493,0,5513,0,76,0,1143,0,0,0,6172,108,0,0,"Y","N","Y"
"CEP290",3815,0,73,0,6624,257,8505,308,1210,1922,2590,1881,931,390,316,7485,0,2001,4206,6820,194,238,195,1144,0,0,567,5074,789,61,98,"N","N","N"
"MRPL46",8994,0,632,0,4212,0,1144,1218,4297,4397,9768,5531,4935,5561,4060,4015,0,0,0,11533,0,0,0,0,0,0,0,2759,4436,0,9064,"N","N","N"
"CHP2",9667,0,2590,0,0,0,3268,4437,3535,6102,5601,8698,7792,3484,8318,4486,0,0,0,3906,0,2809,2861,0,0,0,0,13464,8444,0,2000,"N","N","N"
"TMEM99",9815,0,0,0,16451,0,7574,2831,7614,8167,12933,11662,6563,6256,6251,2181,0,0,0,0,0,0,0,0,0,0,0,4005,4559,0,5421,"N","N","N"
"MIS12",9515,0,6613,0,0,0,6643,4417,2906,10835,3223,3315,10427,7601,6313,3858,0,0,0,5973,0,4036,3109,0,0,0,0,14427,10202,0,9193,"N","N","N"
"ERN1",123,0,1957,0,7812,0,2341,2454,886,3972,14065,3641,3310,6959,4296,8552,0,0,2131,675,0,1670,1450,2224,0,0,0,16156,6010,0,5828,"N","N","Y"
"WDR88",11252,0,0,0,0,0,5663,4388,1702,10209,3980,13636,9242,3084,10548,23766,0,0,0,707,0,0,0,0,0,0,0,6919,13361,0,0,"N","N","N"
"SCN7A",2167,0,945,66,1012,0,2450,129,2481,688,4718,1767,149,82,195,144,0,1884,0,0,44,0,0,1145,0,0,0,178,85,0,8824,"N","N","N"
"C2orf73",8774,0,0,0,7277,0,9001,3470,7399,0,0,0,0,0,0,7870,0,0,1645,764,0,0,0,0,0,0,0,6683,3556,0,3398,"N","N","N"
"BPIFB3",6747,0,0,0,0,0,1415,1650,5175,3252,9133,10285,980,4821,5547,9478,0,0,0,8242,0,0,0,0,0,0,0,18113,11175,0,7168,"N","N","N"
"ZNF217",8928,0,5886,0,11394,0,2593,2978,1043,7016,1526,2384,5241,2545,4730,1956,0,1196,4589,8588,0,2649,1772,104,0,0,0,2679,485,0,6480,"Y","N","Y"
"UCKL1",11253,0,2591,0,0,0,3005,4391,3575,3608,5617,4530,7787,525,4328,23590,0,0,0,711,0,0,0,0,75,54,0,7310,13249,0,0,"N","N","N"
"DSCAM",2154,0,1240,0,8733,0,289,697,1313,852,5069,2046,385,697,1289,3883,0,2295,4621,9551,0,0,0,0,0,0,0,5585,597,0,159,"N","N","N"
"EWSR1",4430,0,308,80,9144,125,411,263,93,1058,610,1724,716,456,422,3924,0,208,0,7972,0,307,238,1146,0,0,0,738,1321,0,0,"N","N","Y"
"GRM7",2942,0,856,0,0,0,3094,2453,2166,6604,6886,2685,3846,2258,3704,7971,0,731,0,4491,795,2022,1368,1147,0,0,0,14955,3701,0,0,"N","N","N"
"PPID",1201,0,5343,0,14801,0,1020,4408,2576,3581,3663,2816,5592,6287,7620,2046,0,0,0,10320,0,4479,3371,1148,0,0,0,6208,5302,0,4301,"N","N","N"
"HSD17B4",3090,0,2218,0,249,0,1355,1213,1829,2488,6330,6502,1063,1797,3199,1117,0,2111,536,718,0,0,0,2012,0,0,0,562,795,0,2964,"N","N","N"
"FAT2",2859,0,255,195,258,0,496,284,832,643,6409,963,256,543,560,7418,0,543,4906,10618,270,0,0,1149,0,0,352,3115,246,143,1769,"Y","N","Y"
"ARC",10031,0,2592,0,0,0,9162,4446,5544,13323,15283,5912,11410,11130,7910,3711,0,0,0,8421,0,3265,3005,0,0,0,0,16045,12046,0,6890,"N","N","N"
"ADAMTSL1",2519,0,2231,0,10323,0,4172,1345,2853,1960,6238,4381,1208,565,1242,7414,0,884,4623,7481,0,0,0,0,0,0,0,955,328,0,1207,"N","N","N"
"MT-ND5",0,5,277,0,0,0,9172,4549,9536,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,"N","N","N"
"MED12",2,0,60,123,4418,34,395,54,389,582,1421,1153,95,57,157,75,0,2042,3751,6718,42,30,26,1150,0,0,700,101,39,0,5772,"Y","N","Y"
"ASPHD1",11254,0,0,0,20766,0,6102,4445,6937,9128,12756,13785,9342,8997,10669,2812,0,0,0,1639,0,0,0,0,0,0,0,1126,7381,0,0,"N","N","N"
"MAP3K1",6,4,9,10,114,9,6464,6,5,440,410,952,9,8,34,3,0,997,4456,9868,7,7,7,1386,0,0,0,4,5,0,8339,"Y","Y","Y"
"HDAC2",834,0,50,0,38,0,679,2225,201,1158,12306,65,460,3937,51,789,0,0,0,0,65,752,618,2459,0,0,149,250,2146,15,6573,"Y","N","Y"
"KCNT2",1040,0,0,0,3121,0,1259,1682,7275,1394,9240,6529,648,1227,1435,551,0,2339,3856,11047,0,0,0,1151,0,0,0,142,196,0,1008,"N","N","N"
"NUAK2",251,0,1715,0,184,0,537,68,1201,1683,3218,6088,1977,1622,1993,2562,0,1580,0,8912,0,420,387,4913,0,0,0,2405,2187,0,0,"N","N","Y"
"CDK18",6232,0,2259,0,9175,0,2763,3583,1458,2541,12241,6904,1144,3872,2060,9806,0,0,0,746,0,1294,667,6171,0,0,0,17191,7481,0,0,"N","N","Y"
"USH2A",945,0,0,0,243,6,495,32,764,444,1515,1234,11,10,52,36,9,1654,0,0,0,0,0,1256,0,0,0,115,10,0,2576,"Y","N","Y"
"RYR2",621,0,55,9,1179,7,23,20,98,353,1113,905,8,9,32,48,4,2489,1979,7828,8,9,9,1152,0,0,0,3497,13,0,8942,"Y","N","Y"
"AHCTF1",2171,0,137,0,8709,132,3080,1036,1559,1288,2348,1900,221,510,754,3272,0,212,4764,11541,182,0,0,91,0,0,610,4814,283,111,1346,"N","N","N"
"TTC39A",6878,0,0,0,15861,0,4309,8048,7591,1343,11163,14139,7794,10198,10949,9118,0,0,0,150,0,0,0,0,0,0,0,9754,6105,0,0,"N","N","N"
"FAM171A1",2250,0,0,0,8309,280,4227,1600,7134,2327,8522,7268,2029,1607,2102,280,0,1097,1316,747,0,0,0,1193,0,0,0,107,332,0,5344,"N","N","N"
"CUBN",3595,0,1452,0,3341,267,854,988,1130,835,4389,1297,275,452,760,1184,94,2613,3066,7234,0,220,187,0,0,0,0,816,66,0,5043,"N","N","N"
"DRGX",3479,0,0,0,14446,0,5485,8063,7729,10220,15639,14075,9225,11485,10902,2363,0,0,0,8004,0,0,0,0,0,0,0,5609,4471,0,0,"N","N","N"
"FAM149B1",5362,0,0,0,5494,0,8829,2440,6409,9640,14106,11263,7244,7000,6057,5150,0,1588,3466,5557,0,0,0,0,0,0,0,4524,3854,0,8531,"N","N","N"
"CHCHD1",7288,0,5346,0,7709,0,4930,8067,8752,6853,12848,6114,9579,9961,6786,1922,0,0,0,8842,0,0,0,0,0,0,0,8897,9056,0,7064,"N","N","N"
"ITIH5",2285,0,0,0,18427,0,7189,5355,9615,0,0,0,0,0,0,7985,0,2242,0,0,0,0,0,1153,94,101,0,15195,3949,0,0,"N","N","Y"
"EXPH5",7769,0,3856,0,5581,278,1673,725,4371,1061,6219,4983,681,548,995,7681,0,459,0,426,0,225,175,1154,0,0,0,10639,1213,0,0,"N","N","N"
"METTL15",10277,0,0,0,0,0,6219,8055,8517,8879,11389,13790,8248,8133,10672,10778,0,0,0,4027,0,0,0,0,0,0,0,18856,11183,0,9203,"N","N","N"
"SLC43A1",9224,0,0,0,18438,0,8023,8052,7777,9202,11464,13269,9668,9845,10253,11566,0,0,0,755,0,0,0,5538,0,0,0,18330,7632,0,5278,"N","N","N"
"FAM111A",9069,0,0,0,11509,0,4576,1697,2878,2414,6826,7189,2091,1489,2092,1443,0,0,1947,6185,0,0,0,0,0,0,0,275,1860,0,4379,"N","N","N"
"THRSP",1248,0,2593,0,18442,0,9764,8051,6901,13924,3959,4608,12016,8792,7576,1671,0,0,2233,752,0,0,0,0,0,0,0,11116,8908,0,1366,"N","N","Y"
